,0,1,2
0,0.0,0.0,1.0
1,0.0,0.0,1.0
2,0.0,0.0,1.0
3,0.0,0.0,1.0
4,0.0,0.0,1.0
5,0.0,0.0,1.0
6,0.0,0.0,1.0
7,0.0,0.0,1.0
8,0.0,0.0,1.0
9,0.0,0.0,1.0
10,0.0,0.0,1.0
11,0.0,0.0,1.0
12,0.0,1.508092519052896e-216,1.0
13,0.0,0.0,1.0
14,0.0,0.0,1.0
15,0.0,0.0,1.0
16,0.0,0.0,1.0
17,0.0,0.0,1.0
18,0.0,0.0,1.0
19,0.0,0.0,1.0
20,0.0,0.0,1.0
21,0.0,0.0,1.0
22,0.0,0.0,1.0
23,0.0,0.0,1.0
24,0.0,0.0,1.0
25,0.0,0.0,1.0
26,4.7607681988197577e-237,9.296251796383517e-138,1.0
27,0.0,0.0,1.0
28,0.0,0.0,1.0
29,0.0,0.0,1.0
30,0.0,0.0,1.0
31,0.0,5.430625775042709e-304,1.0
32,0.0,0.0,1.0
33,0.0,0.0,1.0
34,0.0,0.0,1.0
35,4.3885198886974376e-170,7.83205614137494e-135,1.0
36,2.081463760296002e-185,1.5817469539151668e-122,1.0
37,0.0,0.0,1.0
38,2.00390747267785e-242,3.0742374194643717e-173,1.0
39,2.5752898408336675e-203,1.2104028919061987e-291,1.0
40,0.0,3.088908037745394e-236,1.0
41,0.0,2.954528450260386e-221,1.0
42,0.0,2.0197252784145103e-300,1.0
43,0.0,0.0,1.0
44,1.6804195917486294e-285,0.0,1.0
45,0.0,0.0,1.0
46,0.0,4.928333569369688e-269,1.0
47,3.669182167308494e-259,7.912040184497874e-150,1.0
48,0.0,0.0,1.0
49,0.0,0.0,1.0
50,1.0892683690377682e-246,4.248022947795299e-211,1.0
51,0.0,0.0,1.0
52,0.0,0.0,1.0
53,0.0,0.0,1.0
54,9.700874236432258e-283,9.239876038490386e-262,1.0
55,7.064178215326051e-260,1.46142701567e-312,1.0
56,2.2577858258156194e-221,8.44169326672862e-148,1.0
